Complaint Year,Month,Patrol Borough Name,County,Offense Description,Bias Motive Description,Offense Category,General Offense Description
2021,9,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,4,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO QUEENS NORTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,5,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,CRIMINAL MISCHIEF & RELATED OF
2021,6,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,9,PATROL BORO QUEENS NORTH,QUEENS,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2021,9,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2021,7,PATROL BORO QUEENS NORTH,QUEENS,FELONY ASSAULT,ANTI-GENDER NON-CONFORMING,Gender,FELONY ASSAULT
2021,9,PATROL BORO QUEENS NORTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-BLACK,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,4,PATROL BORO STATEN ISLAND,RICHMOND,CRIMINAL MISCHIEF & RELATED OF,ANTI-ASIAN,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,5,PATROL BORO STATEN ISLAND,RICHMOND,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,8,PATROL BORO STATEN ISLAND,RICHMOND,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,9,PATROL BORO STATEN ISLAND,RICHMOND,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,5,PATROL BORO STATEN ISLAND,RICHMOND,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,3,PATROL BORO STATEN ISLAND,RICHMOND,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,7,PATROL BORO STATEN ISLAND,RICHMOND,CRIMINAL MISCHIEF & RELATED OF,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,CRIMINAL MISCHIEF & RELATED OF
2021,8,PATROL BORO STATEN ISLAND,RICHMOND,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2021,4,PATROL BORO STATEN ISLAND,RICHMOND,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,6,PATROL BORO STATEN ISLAND,RICHMOND,HARRASSMENT 2,ANTI-BLACK,Race/Color,HARRASSMENT 2
2021,8,PATROL BORO STATEN ISLAND,RICHMOND,OFF. AGNST PUB ORD SENSBLTY &,ANTI-MUSLIM,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
